concept:name,time:timestamp,qty_completed,qty_rejected
Turning & Milling - Machine 8,1970-01-12 12:35:21.027918+00:00,20,0
Laser Marking - Machine 7,1970-01-17 21:47:22.044749+00:00,18,0
Final Inspection Q.C.,1970-01-22 14:57:51.749943+00:00,15,0
Final Inspection Q.C.,1970-01-29 03:04:00.817928+00:00,23,0
Lapping - Machine 1,1970-01-30 05:10:47.358098+00:00,23,0
Lapping - Machine 1,1970-02-05 03:51:05.892044+00:00,25,0
Lapping - Machine 1,1970-02-06 17:44:06.363395+00:00,15,0
Turning & Milling - Machine 5,1970-01-13 00:56:14.678572+00:00,20,0
Turning & Milling - Machine 8,1970-01-13 03:46:34.313380+00:00,27,0
Turning & Milling Q.C.,1970-01-16 02:23:12.051223+00:00,18,0
Turning & Milling Q.C.,1970-01-16 21:45:15.569491+00:00,26,1
Final Inspection Q.C.,1970-01-17 20:55:44.117401+00:00,13,0
Turning & Milling Q.C.,1970-01-24 06:52:38.718179+00:00,21,0
Final Inspection Q.C.,1970-01-24 16:44:37.874945+00:00,19,0
Laser Marking - Machine 7,1970-01-25 03:10:06.084732+00:00,23,0
Round Grinding - Manual,1970-01-26 05:36:36.184491+00:00,28,0
Round Grinding - Machine 2,1970-01-26 07:59:48.839867+00:00,17,0
Round Grinding - Machine 2,1970-01-26 11:18:55.986016+00:00,11,0
Turning & Milling - Machine 5,1970-01-26 13:07:20.706372+00:00,24,0
Round Grinding - Manual,1970-01-26 16:14:18.269474+00:00,20,0
Round Grinding - Machine 2,1970-01-26 16:19:08.748891+00:00,24,0
Round Grinding - Machine 2,1970-01-26 21:35:51.893438+00:00,22,0
Round Grinding - Machine 2,1970-01-28 09:03:18.015159+00:00,25,0
Round Grinding - Machine 2,1970-01-28 18:41:24.547039+00:00,21,0
Round Grinding - Machine 2,1970-01-29 13:59:39.898356+00:00,23,0
Round Grinding - Machine 2,1970-01-29 14:30:02.613127+00:00,15,0
Round Grinding - Machine 2,1970-01-29 17:17:20.257002+00:00,22,0
Turning - Machine 8,1970-01-30 01:18:40.128884+00:00,23,0
Turning & Milling - Machine 6,1970-01-30 11:57:22.728207+00:00,19,0
Turning & Milling - Machine 5,1970-01-30 12:51:44.159666+00:00,25,0
Laser Marking - Machine 7,1970-02-01 02:14:17.687080+00:00,20,0
Packing,1970-02-06 02:01:06.829814+00:00,23,0
Turning & Milling - Machine 8,1970-02-06 07:39:20.718072+00:00,26,0
Turning & Milling - Machine 6,1970-02-06 14:37:06.490715+00:00,22,0
Turning - Machine 8,1970-02-06 21:27:15.255121+00:00,19,0
Round Grinding - Machine 12,1970-02-09 23:27:22.908034+00:00,15,0
Round Grinding - Machine 12,1970-02-10 05:00:27.617364+00:00,26,0
Turning & Milling - Machine 8,1970-02-10 22:31:29.713123+00:00,25,0
Final Inspection Q.C.,1970-02-12 07:16:30.652771+00:00,8,0
Final Inspection Q.C.,1970-02-13 00:17:06.726281+00:00,22,0
Round Grinding - Machine 3,1970-02-13 05:34:07.385270+00:00,14,0
Grinding Rework - Machine 27,1970-02-14 09:59:20.915203+00:00,17,0
Final Inspection Q.C.,1970-02-16 05:25:02.403127+00:00,22,0
Lapping - Machine 1,1970-02-20 13:45:45.365253+00:00,23,0
Turning & Milling - Machine 10,1970-02-20 19:41:37.352781+00:00,23,0
Lapping - Machine 1,1970-02-23 08:25:22.341009+00:00,13,0
Packing,1970-02-24 18:20:53.727195+00:00,24,0
Turning & Milling - Machine 8,1970-02-25 03:46:33.875406+00:00,27,0
Turning & Milling - Machine 5,1970-01-14 02:36:01.113876+00:00,22,0
Round Grinding - Machine 12,1970-01-15 08:36:19.157839+00:00,23,0
Round Grinding - Machine 3,1970-01-16 08:21:14.817016+00:00,27,0
Grinding Rework - Machine 27,1970-01-18 02:38:37.730032+00:00,24,0
Lapping - Machine 1,1970-01-21 05:30:26.124016+00:00,20,0
Turning & Milling - Machine 5,1970-01-21 16:48:51.352609+00:00,17,0
Turning & Milling Q.C.,1970-01-22 04:32:44.464240+00:00,16,0
Turning & Milling - Machine 5,1970-01-22 07:43:30.784484+00:00,20,0
Round Grinding - Machine 12,1970-01-23 16:03:58.782749+00:00,19,0
Round Grinding - Machine 12,1970-01-26 18:41:53.642352+00:00,15,0
Round Grinding - Machine 12,1970-01-27 03:47:32.165454+00:00,24,0
Round Grinding - Machine 12,1970-01-28 02:46:49.399246+00:00,21,0
Round Grinding - Machine 3,1970-01-28 15:06:50.006336+00:00,23,0
Grinding Rework - Machine 27,1970-01-30 09:26:00.727527+00:00,24,0
