concept:name,time:timestamp,qty_completed,qty_rejected
Final Inspection Q.C.,1970-01-13 14:10:50.950993+00:00,24,0
Round Grinding - Machine 3,1970-01-13 03:34:01.521781+00:00,21,0
Grinding Rework - Machine 27,1970-01-16 10:21:53.490183+00:00,11,0
Lapping - Machine 1,1970-01-24 07:32:34.487861+00:00,16,0
Turning & Milling - Machine 10,1970-01-25 14:04:17.494708+00:00,19,0
Turning & Milling - Machine 10,1970-01-27 05:24:09.527022+00:00,18,0
Packing,1970-01-29 04:07:01.839207+00:00,17,0
Turning Q.C.,1970-02-11 06:57:12.728794+00:00,19,0
Round Grinding - Machine 3,1970-02-11 08:25:54.751226+00:00,20,0
Packing,1970-02-16 12:17:12.875158+00:00,24,0
Round Grinding - Q.C.,1970-02-20 01:17:20.258776+00:00,21,0
Round Grinding - Q.C.,1970-02-20 02:54:00.582346+00:00,18,0
Round Grinding - Q.C.,1970-02-26 07:55:18.333689+00:00,16,0
Turning & Milling - Machine 5,1970-01-13 13:37:13.063164+00:00,17,0
Flat Grinding - Machine 11,1970-01-13 23:56:09.031912+00:00,22,0
Final Inspection Q.C.,1970-01-14 17:10:16.229221+00:00,20,0
Final Inspection Q.C.,1970-01-19 06:19:37.798398+00:00,19,0
Turning & Milling - Machine 10,1970-01-23 09:10:02.678589+00:00,23,0
Turning & Milling - Machine 10,1970-01-25 02:09:19.938384+00:00,17,0
Turning & Milling - Machine 10,1970-01-28 05:33:22.019943+00:00,22,0
Packing,1970-01-29 20:06:21.250008+00:00,21,0
Turning & Milling Q.C.,1970-02-10 02:18:18.217341+00:00,12,0
Packing,1970-02-13 14:12:07.240816+00:00,21,0
Turning & Milling Q.C.,1970-02-13 15:30:03.724201+00:00,18,0
Final Inspection Q.C.,1970-02-15 21:20:10.268309+00:00,27,0
Turning & Milling - Machine 6,1970-02-15 23:31:54.127383+00:00,18,0
Nitration Q.C.,1970-02-27 13:30:14.750128+00:00,19,0
Laser Marking - Machine 7,1970-01-14 13:43:59.488937+00:00,14,0
Turning & Milling Q.C.,1970-01-15 22:04:55.907923+00:00,19,0
Turning & Milling Q.C.,1970-01-16 06:18:38.972897+00:00,24,0
Round Grinding - Machine 2,1970-01-16 12:36:02.092010+00:00,25,0
Round Grinding - Machine 2,1970-01-16 20:04:05.133511+00:00,22,0
Round Grinding - Machine 2,1970-01-17 02:28:06.644455+00:00,18,0
Turning & Milling - Machine 8,1970-01-17 21:07:17.734943+00:00,21,0
Round Grinding - Machine 3,1970-01-17 22:36:35.313649+00:00,19,0
Lapping - Machine 1,1970-01-24 07:32:34.487861+00:00,16,0
Lapping - Machine 1,1970-01-26 10:58:27.661884+00:00,21,0
Packing,1970-01-28 19:56:26.487148+00:00,22,0
Turning & Milling - Machine 6,1970-01-29 16:32:14.041125+00:00,23,0
Final Inspection Q.C.,1970-02-02 11:14:00.876848+00:00,24,0
Packing,1970-02-03 04:14:46.686080+00:00,21,0
Turning & Milling - Machine 4,1970-01-14 16:49:23.764998+00:00,29,0
Round Grinding - Machine 3,1970-01-15 05:57:44.415048+00:00,26,0
Packing,1970-01-25 21:14:31.882116+00:00,23,0
Lapping - Machine 1,1970-01-28 07:11:44.741912+00:00,17,0
Turning & Milling Q.C.,1970-01-29 20:39:56.603679+00:00,20,0
Turning & Milling Q.C.,1970-01-30 07:58:18.840111+00:00,21,0
Turning & Milling Q.C.,1970-02-01 16:39:02.523102+00:00,21,0
Turning & Milling Q.C.,1970-02-08 21:47:07.177722+00:00,23,0
Turning & Milling Q.C.,1970-02-09 16:42:31.923976+00:00,15,0
Turning & Milling Q.C.,1970-02-10 23:43:27.807503+00:00,25,0
Turning & Milling - Machine 6,1970-01-14 21:30:58.964248+00:00,18,0
Turning & Milling Q.C.,1970-01-18 04:51:48.623312+00:00,19,0
Turning & Milling Q.C.,1970-01-18 16:57:55.819075+00:00,24,0
Turn & Mill. & Screw Assem - Machine 10,1970-01-19 13:54:38.905923+00:00,20,0
Lapping - Machine 1,1970-01-25 17:03:33.492877+00:00,25,0
Laser Marking - Machine 7,1970-01-31 18:41:28.663371+00:00,21,0
Turning & Milling - Machine 8,1970-02-02 03:50:17.542572+00:00,24,0
Grinding Rework - Machine 27,1970-02-02 20:25:26.158451+00:00,22,0
