concept:name,time:timestamp,qty_completed,qty_rejected
Turning & Milling - Machine 5,1970-01-12 14:14:11.048961+00:00,22,1
Final Inspection Q.C.,1970-01-14 21:51:35.626971+00:00,21,0
Turning & Milling Q.C.,1970-01-25 02:04:24.161780+00:00,21,0
Laser Marking - Machine 7,1970-01-26 08:24:16.206957+00:00,21,0
Turning & Milling Q.C.,1970-01-29 01:06:58.537821+00:00,17,0
Turning & Milling - Machine 8,1970-01-30 00:48:24.913876+00:00,19,0
Turning & Milling Q.C.,1970-01-31 16:15:54.216744+00:00,24,0
Turning & Milling - Machine 9,1970-01-31 21:18:13.160080+00:00,24,0
Packing,1970-02-26 09:24:57.316462+00:00,18,0
Lapping - Machine 1,1970-03-02 12:03:03.852566+00:00,23,0
Turning & Milling - Machine 8,1970-03-03 06:24:59.046372+00:00,23,0
Turning & Milling Q.C.,1970-03-12 05:57:11.522725+00:00,29,0
Turning & Milling Q.C.,1970-03-13 18:10:33.111343+00:00,11,0
Turning & Milling Q.C.,1970-03-13 23:27:14.056534+00:00,18,0
Turning & Milling Q.C.,1970-03-21 21:56:46.850025+00:00,17,0
Grinding Rework - Machine 27,1970-01-15 19:36:05.369535+00:00,15,0
Lapping - Machine 1,1970-01-20 21:13:20.674231+00:00,19,0
Lapping - Machine 1,1970-01-23 23:16:23.013339+00:00,19,0
Turning & Milling Q.C.,1970-01-28 12:23:48.637077+00:00,20,0
Turning & Milling - Machine 4,1970-01-28 18:32:28.701525+00:00,13,0
Turning & Milling - Machine 4,1970-01-29 05:20:56.874114+00:00,16,0
Turning & Milling - Machine 4,1970-01-29 15:09:28.216985+00:00,14,0
Turning & Milling - Machine 4,1970-01-30 08:01:57.442884+00:00,28,0
Turning & Milling - Machine 4,1970-01-30 17:20:18.712078+00:00,22,0
Turning & Milling Q.C.,1970-01-14 22:29:24.990753+00:00,15,0
Turning & Milling - Machine 5,1970-01-15 09:45:59.056104+00:00,17,0
Turning & Milling Q.C.,1970-01-15 20:37:49.349831+00:00,22,0
Final Inspection Q.C.,1970-01-18 04:21:38.935640+00:00,18,0
Grinding Rework - Machine 27,1970-01-18 23:29:29.628465+00:00,9,0
Final Inspection Q.C.,1970-01-18 23:38:25.867121+00:00,21,0
Packing,1970-01-19 11:54:06.005390+00:00,19,0
Final Inspection Q.C.,1970-01-19 13:26:17.369157+00:00,22,0
Lapping - Machine 1,1970-01-21 20:16:49.503918+00:00,18,0
Final Inspection Q.C.,1970-01-30 14:20:29.087638+00:00,14,0
Final Inspection Q.C.,1970-02-01 02:50:36.713969+00:00,24,0
Turning & Milling Q.C.,1970-01-14 22:29:24.990753+00:00,23,0
Turning & Milling - Machine 4,1970-01-15 00:09:17.441677+00:00,19,0
Laser Marking - Machine 7,1970-01-16 15:51:52.866442+00:00,25,0
Turning & Milling - Machine 5,1970-01-17 15:25:19.038283+00:00,19,0
Turning & Milling - Machine 6,1970-01-17 16:39:40.464134+00:00,22,0
Laser Marking - Machine 7,1970-01-22 14:29:21.318996+00:00,25,0
Round Grinding - Machine 2,1970-01-22 20:32:59.974363+00:00,21,0
Round Grinding - Machine 2,1970-01-23 11:48:16.235548+00:00,20,0
Turning & Milling - Machine 6,1970-01-23 15:05:20.855152+00:00,23,0
Laser Marking - Machine 7,1970-01-24 11:35:59.603577+00:00,21,0
Lapping - Machine 1,1970-01-26 14:13:03.527666+00:00,21,0
Turning & Milling - Machine 10,1970-01-31 06:09:50.997738+00:00,17,0
Turning & Milling - Machine 10,1970-01-31 16:30:10.055697+00:00,19,0
Turning & Milling - Machine 10,1970-02-01 22:16:02.559838+00:00,20,0
Packing,1970-02-05 07:40:10.727141+00:00,12,0
Flat Grinding - Machine 11,1970-02-06 01:16:14.558003+00:00,21,0
Turning & Milling - Machine 6,1970-01-15 04:54:01.759524+00:00,29,0
Turning & Milling Q.C.,1970-01-15 07:23:41.006417+00:00,25,0
Fix - Machine 15M,1970-01-15 07:23:41.006417+00:00,22,0
Turning & Milling Q.C.,1970-01-16 17:14:15.581010+00:00,21,0
Turning & Milling Q.C.,1970-01-20 16:01:12.775113+00:00,13,0
Turning & Milling - Machine 6,1970-01-15 22:04:22.397776+00:00,20,0
Turning & Milling Q.C.,1970-01-17 11:53:23.511616+00:00,16,0
Laser Marking - Machine 7,1970-01-18 11:08:05.530917+00:00,18,0
Lapping - Machine 1,1970-01-21 06:55:05.594904+00:00,21,0
Turning & Milling - Machine 10,1970-01-21 12:01:25.767913+00:00,19,0
Packing,1970-01-24 05:05:18.632360+00:00,22,0
Turning & Milling - Machine 5,1970-01-24 05:30:46.497826+00:00,23,0
Turning & Milling - Machine 4,1970-01-24 05:43:51.303192+00:00,17,0
Turning & Milling - Machine 4,1970-01-24 19:50:32.911312+00:00,16,0
Turning & Milling - Machine 5,1970-01-24 21:07:12.202460+00:00,20,0
Round Grinding - Machine 3,1970-01-26 02:14:56.748212+00:00,25,0
Grinding Rework - Machine 27,1970-01-29 15:00:44.449756+00:00,16,0
Lapping - Machine 1,1970-02-07 10:57:14.809713+00:00,21,0
Lapping - Machine 1,1970-02-09 18:31:12.797576+00:00,16,0
Turning & Milling - Machine 9,1970-02-09 20:11:32.381760+00:00,27,0
