concept:name,time:timestamp,qty_completed,qty_rejected
Rework Milling - Machine 28,1970-01-12 10:46:40+00:00,16,0
Final Inspection Q.C.,1970-01-15 03:24:21.537563+00:00,19,0
Round Grinding - Machine 3,1970-01-15 16:39:21.578351+00:00,19,0
Final Inspection Q.C.,1970-01-17 01:04:37.595868+00:00,19,0
Final Inspection Q.C.,1970-01-19 10:13:23.615839+00:00,15,0
Turning & Milling Q.C.,1970-01-22 05:08:34.612275+00:00,22,0
Round Grinding - Manual,1970-01-22 08:20:21.058617+00:00,25,0
Turning & Milling - Machine 6,1970-01-22 21:03:31.185486+00:00,31,0
Final Inspection Q.C.,1970-01-23 22:24:16.280162+00:00,15,0
Final Inspection Q.C.,1970-01-24 20:10:59.759174+00:00,20,0
Turning & Milling Q.C.,1970-01-13 20:43:28.118485+00:00,20,0
Turning & Milling Q.C.,1970-01-15 00:20:32.767331+00:00,21,0
Turning Q.C.,1970-01-17 08:11:17.824934+00:00,19,0
Turning & Milling - Machine 6,1970-01-17 14:43:08.620514+00:00,22,0
Turning & Milling Q.C.,1970-01-18 02:20:29.858109+00:00,17,0
Final Inspection Q.C.,1970-01-20 20:40:23.587406+00:00,21,0
Round Grinding - Machine 3,1970-01-21 14:15:02.599695+00:00,19,0
Turning & Milling - Machine 9,1970-01-21 16:37:37.658998+00:00,19,0
Laser Marking - Machine 7,1970-01-28 17:12:51.648632+00:00,22,0
Turning & Milling - Machine 9,1970-01-28 17:15:14.919273+00:00,18,0
Lapping - Machine 1,1970-02-03 01:37:03.411728+00:00,16,0
Lapping - Machine 1,1970-02-09 01:45:30.186089+00:00,25,0
Turning & Milling - Machine 9,1970-02-09 03:58:33.680322+00:00,23,0
Packing,1970-02-10 05:21:09.378657+00:00,19,0
Turning & Milling - Machine 8,1970-02-10 07:11:19.401005+00:00,28,0
Final Inspection Q.C.,1970-02-11 00:21:00.750788+00:00,12,0
Round Grinding - Machine 12,1970-02-12 11:06:57.324339+00:00,17,0
Round Grinding - Machine 12,1970-02-13 02:57:56.477529+00:00,21,0
Round Grinding - Machine 3,1970-02-14 02:09:03.211784+00:00,17,0
Laser Marking - Machine 7,1970-02-15 02:02:30.179250+00:00,19,0
Lapping - Machine 1,1970-02-15 12:31:37.065547+00:00,18,0
Turning - Machine 8,1970-01-13 23:27:22.141853+00:00,20,0
Round Grinding - Machine 3,1970-01-14 21:11:26.661875+00:00,15,0
Turning & Milling - Machine 10,1970-01-15 00:29:48.467905+00:00,24,0
Lapping - Machine 1,1970-01-16 09:45:17.263162+00:00,16,0
Lapping - Machine 1,1970-01-17 08:48:17.543383+00:00,22,0
Packing,1970-01-19 13:47:48.360975+00:00,14,0
Turning & Milling Q.C.,1970-01-19 16:09:46.840595+00:00,26,0
Packing,1970-01-21 01:51:31.394425+00:00,15,0
Turning & Milling - Machine 8,1970-01-21 08:21:22.856510+00:00,11,1
Turning & Milling Q.C.,1970-01-23 19:20:48.424007+00:00,19,0
Round Grinding - Machine 3,1970-01-24 00:50:08.235081+00:00,19,0
Turning & Milling Q.C.,1970-01-25 05:56:44.022160+00:00,17,0
Turning & Milling Q.C.,1970-01-27 02:00:39.222549+00:00,14,0
Turning & Milling Q.C.,1970-01-29 00:22:56.580568+00:00,19,0
Turning & Milling Q.C.,1970-01-31 14:15:56.373993+00:00,20,0
Turning & Milling Q.C.,1970-02-02 15:23:32.077475+00:00,23,0
Turning & Milling - Machine 6,1970-02-02 18:47:49.784851+00:00,20,0
Final Inspection Q.C.,1970-02-05 08:04:32.920986+00:00,18,0
